task,backend,model,id,text,true_emotion,predicted_emotion,correct,response,fluency,emotional_accuracy,empathy,helpfulness,safety,latency_s,error
advise,ollama,qwen3:8b,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,,,فهمن و بسیار متأسفم که این روزها اینقدر فشار داری. احساسات تو کاملاً طبیعی هستن. می‌تونی یک روز آرامش بخش رو در نظر بگیری و درون خودت رو با همدردی بررسی کنی. مثلاً چند دقیقه تنفس عمیق کن یا چیزی که تو را آرامش بخشد رو در دستت بگیر. با این حال، اگر این حالت همچنان ادامه داشته باشد، ممکن است بهتر باشه کمک یک متخصص روانشناس رو در نظر بگیری.,5,5,5,5,5,6.84,
advise,ollama,hf.co/mradermacher/gemma-3-4b-persian-v0-GGUF:latest,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,,,متوجه هستم که این احساسات برات خیلی سنگین هستند و باعث می‌شوند نتونی روی کار تمرکز کنی. این طبیعیه که گاهی اوقات انسان‌ها با چالش‌هایی روبرو شوند که باعث ایجاد احساسات منفی در اونها می‌شن. این لحظه‌ها فرصتی برای خودشناسی و پذیرش وجودی‌ات هستن. سعی کن به خودت یادآوری کنی که داری تلاش می‌کنی و این حس خوبه.,5,5,5,4,5,3.62,
advise,groq,llama-3.3-70b-versatile,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,,,فهم می‌کنم که نگرانی از نتیجه‌ی آزمایش فردا باعث شده تا شب خوبی نداشته باشی. طبیعی است که در این شرایط احساس نگرانی کنی. شاید کمک‌کننده باشد که قبل از خواب، چند دقیقه‌ای را به نفس‌های عمقی و آرام اختصاص بدهی یا یک کتاب轻 را بخوانی تا ذهنت از فکر درباره‌ی آزمایش فردا منحرف شود. یادت باشد که تا زمانی که نتیجه‌ی آزمایش مشخص نشود، نگرانی بی‌وجه نکن.,5,5,5,5,5,0.81,
advise,groq,meta-llama/llama-4-scout-17b-16e-instruct,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,,,"کاملا می‌فهممت که چقدر استرس و نگرانی می‌تواند آزاردهنده باشد. شب‌های بی‌خوابی به دلیل نگرانی، انرژی و توانایی‌ت رو برای روز بعد کاهش می‌ده.

یک پیشنهاد دارم: قبل از خواب، چند دقیقه تمرین تنفس عمیق انجام بده. دم و بازدم‌هایت رو روی ۴ یا ۵ ثانیه تنظیم کن. این کار به آرامش ذهن و جسمت کمک می‌کنه.

فردا هم به محض بیدار شدن، یک لیوان آب خنک بنوش و کمی ورزش سبک انجام بده. این می‌تواند به افزایش انرژی و شادابی‌ت کمک کنه.",5,5,5,5,5,0.78,
advise,groq,openai/gpt-oss-120b,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,,,"نگرانیت کاملاً قابل درکه؛ وقتی فکر نتایج آزمایش می‌چرخه، ذهن‌مون راحت نمی‌دست.  

- سعی کن قبل خواب یک‌دوم دقیقه نفس عمیق بگیری یا به موسیقی ملایم گوش بدهی؛ این کار معمولاً آرامش بیشتری می‌آورد.  
- اگر فکرهای نگران‌کننده‌ات ادامه داشت، آنها را روی کاغذ بنویس و سپس به خود بگو «امروز تمام شد، فردا می‌بینیم».  

اگر این اضطراب به‌طور مداوم خواب‌تو می‌گیرد یا حس می‌کنی نمی‌توانی با آن کنار بیایی، حتماً با یک مشاور یا روان‌پزشک صحبت کن. 🌱",5,5,5,5,5,0.96,
advise,ollama,llama3.2:latest,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,,,"امیدم که می‌توانم به شما کمک کنم.

در این Situation، خیلی مهم است که خودتان هم با خودtalk کنید و احساسات خود را پذیرفتن کنید. tonight، ممکن است شب های طولانی و نگران کننده و بی‌سchlaf داشته باشید، اما بدانید که بسیاری از افراد با مشکلات مشابه پیشرفت کرده اند و به بهبودی رسیده اند.

به این واقعیت توجه کنید: 

1.  آزمایشها فقط یک سنجه هستند و نهایتاً نتیجه آنها بر اساس شرایط درونی فرد است.
2.  خودتان در حال کار کردن روی خودتان هستید و می توانید از این فرصت برای بهبود Yourself استفاده کنید.
3.  اگر نگرانNESS و اضطراب شما شدید است، ممکن است توصیه شود که به یک متخصص tâm Psychological consulting بروید تاAdvice دریافت کنید و کمک های تخصصی را برای خودتان دریافت کنید.

علاوه بر این، در شبهای طولانی و stressful، می‌توانید از ریتم‌هایRelaxing như nghe موسیقی، reading یا doing some Light Exercise برای yourselves استفاده کنید.",4,3,4,5,5,2.63,
advise,ollama,gemma3:4b,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,,,وای، این خیلی ناراحت‌کننده‌ست. نگران بودنت کاملاً قابل درک بود. داشتن این همه اضطراب قبل از یه نتیجه‌ی مهم واقعاً می‌تونه خیلی سخت باشه. سعی کن نفس عمیق بکشی و روی لحظه‌های حال تمرکز کنی. به خودت یادآوری کن که هر نتیجه‌ای رو می‌تونی با وجودت کنار بیاری. اگه می‌تونی، یه کار آروم انجام بده که بهت آرامش بده. اگه این نگرانی‌ها خیلی زیاده، شاید با یه دوست یا یکی از اعضای خانواده صحبت کنی؟ هرچیزهایی که بهت کمک کنه احساس بهتری داشته باشی.,5,5,5,5,5,2.23,
advise,ollama,qwen3:8b,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,,,"من فهمم، نگرانی‌هایت به قدرش نیست. خیلی سخت است وقتی احساس می‌کنی که آینده در دست است. بهت گفتم که بهتر است به خواب بروی و با قلبی که از هر لحظه ایمنی در خود داری، فردا به نتیجه نگردد. 💛  
اگر نتوانستی خواب کنی، از یک شی چیزی که تو را آرام کند، مثل یک نگاه به آسمان یا یک موزیک کمک کننده استفاده کن. 🌙🎶  
تو همیشه قوی‌تر از هر نگرانی هستی. 🌟",4,5,5,4,5,7.34,
advise,ollama,hf.co/mradermacher/gemma-3-4b-persian-v0-GGUF:latest,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,,,درک می‌کنم که این نگرانی‌ها چه تأثیر زیادی روی تو داره. این احساسات طبیعی هستند و خیلی خوبه که داری درباره‌شون با من صحبت می‌کنی. سعی کن آرامش خودت رو حفظ کنی و به خودت یادآوری کنی که تمام تلاش‌های خوبی که انجام دادی، ارزشش رو داره. می‌تونم پیشنهاد کنم که یک نوشیدنی گرم بخوری و به خودت اجازه بدی شب رو استراحت کنی. اگر این احساسات خیلی شدید هستن و نمی‌دونی چطور باهاشون کنار بیای، حتماً از یک متخصص کمک بگیر.,5,5,5,5,5,4.04,
advise,groq,llama-3.3-70b-versatile,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,,,درک می‌کنم که اون صحنه واقعاً برایت難 بود. این طبیعی هست که بعد از دیدن چیزهای ناخوشایند احساس بدی داشتی. شاید بهتر باشه که برای یک لحظه از اون فکری که بهت فشار میاره، خارج بشی و به چیزهای مثبت و دلگرم‌کننده‌ای فکر کنی که تو زندگی‌ات وجود دارن. همچنین، اگر این احساسات ادامه دارن، صحبت با یک دوست یا chuyênندهای سلامت روان می‌تونه کمکت کنه.,5,5,5,5,5,0.89,
advise,groq,meta-llama/llama-4-scout-17b-16e-instruct,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,,,کاملا درک می‌کنم که چقدر می‌تونه این تجربه برایت سخت و ناراحت‌کننده باشه. طبیعی است که بعد از دیدن یه صحنه‌ی ناخوشایند، احساس بدی داشته باشی. پیشنهاد می‌کنم یه کار آرام‌بخش انجام بدهی، مثل گوش دادن به موسیقی یا قدم زدن در هوای تازه. اگر احساس می‌کنی که این خاطره داره ذهن و احساساتت رو خیلی درگیر می‌کنه، شاید بد نباشه که با یه مشاور یا روانشناس صحبت کنی.,5,5,5,5,5,0.62,
advise,groq,openai/gpt-oss-120b,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,,,"حس‌هات کاملاً قابل درکه؛ وقتی صحنه‌ای ناخوشایند می‌بینیم، اضطراب و ناراحتی به‌سر می‌گیرد. 🌿

- یک نفس عمیق بکش و به آرامی شمارش کن (مثلاً تا ۱۰) تا لحظه‌ای آرام‌تر بشی.  
- اگر امکان داره، با یک دوست یا کسی که بهش اعتماد داری دربارهٔ احساساتت صحبت کن؛ گاهی گفتن باعث می‌شود فشار کمتر حس شود.  

اگر این احساسات ادامه‌دار یا خیلی قوی شد، حتماً با یک مشاور یا روان‌پزشک تماس بگیر. تو شایستهٔ آرامش و حمایت هستی. 💛",5,5,5,5,5,0.65,
advise,ollama,llama3.2:latest,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,,,"هalo! می‌تونی با من về این موضوع بحث کردی و احساسات و احساسات مختلفی که در آن لحظه از تو می‌چکند، را با همsharesدی. 

پیشنهادی است که می‌توانی به کار خودت روی یک فعالیت خلاقانه و لذبخش مشغول شوی، مثل سرگرمی‌ای که Before این وقوع رو انجام میدیدی.",2,3,2,3,4,1.12,
advise,ollama,gemma3:4b,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,,,وای، چه حس ناخوشایندی! دیدن چیزهای ناخوشایند می‌تونه واقعاً ناخوشایند باشه. این طبیعیه که احساس انزجار کنی. اجازه بده این حس رو بپذیری و به خودت سخت نگیر. اگه می‌تونی، سعی کن ذهنت رو از اون صحنه دور کنی و روی چیزهای مثبت تمرکز کنی. اگه این احساسات خیلی قوی هستن، با کسی که بهش اعتماد داری صحبت کن.,5,5,5,5,5,1.75,
advise,ollama,qwen3:8b,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,,,ممنون که به من گفتی، حس می‌کنم تجربه‌ای شدید و غم‌انگیز برایت. اگر نیاز بود، با من صحبت کن، من همیشه در کنارت هستم. می‌تونی از چیزی که می‌خواهی بهتر شود، یک چیز کوچیک را امروز انجام بده، مثل یک پیکنیک با دوستان یا یک قصه‌ی کمی سبک که از دلش بگذرد.,5,4,5,4,5,6.27,
advise,ollama,hf.co/mradermacher/gemma-3-4b-persian-v0-GGUF:latest,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,,,من کاملاً درکت می‌کنم. احساس ناراحتی و تحسین از اینکه آن صحنه برایت چندش‌آور بوده، کاملاً طبیعیه. این نوع احساسات نشانه اینه که شما به خوبی می‌تونید احساسات خودتون رو شناسایی کنید و باهاشون کنار بیایید. سعی کن به خودت یادآوری کنی که این احساسات گذرا هستن و با گذر زمان بهتر می‌شن.,5,5,5,4,5,3.86,
advise,groq,llama-3.3-70b-versatile,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,,,چقدر باحال! خوشحال میشم که این اتفاق برایت افتاده. این نشان میده که عزیزانتت واقعاً به تو فکر می‌کنند و تو رو دوست دارن. این لحظه رو 好 یادت بمونه و از این عشقی که دور و برت هست، لذت ببر.,5,5,4,3,5,0.61,
advise,groq,meta-llama/llama-4-scout-17b-16e-instruct,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,,,چه سورپرایز خوشحال‌کننده‌ای! احساس می‌کنی که چقدر دوست داری و چقدر برای دیگران ارزشمندی. پیشنهاد می‌کنم این حس خوب رو با نوشتن در دفترچه‌خاطراتت یا حتی کشیدن یک نقاشی ساده، جایی در حافظه‌ت ثبت کنی تا هر وقت دلت گرفت، به اون لحظه خوب برگردی.,5,5,5,5,5,0.36,
advise,groq,openai/gpt-oss-120b,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,,,چقدر خوشحالی‌ات به‌نظر می‌رسه! این حس غافلگیری مثبت می‌تونه انرژی‌ات رو بالا ببره. شاید امروز یه لحظه وقت بگذاری و از این لحظه لذت ببری، یا حتی توی دفترچه‌ات بنویسی چه چیزهایی تو رو خوشحال کردند. این کار می‌تونه حس مثبت رو تثبیت کنه و برای روزهای بعد هم به‌خاطر بسپری. 🌟,5,5,4,5,5,0.95,
advise,ollama,llama3.2:latest,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,,,منظURLو! با همت و عاطفه در این دفترچه خاطرات، می‌تونی از این موقعیت را فرصت ببری تا به یاد توها و دوستانی که برای توعیه تو در این جشن به حضور arriving weren، درخشان می‌ماند.,2,3,2,1,4,0.84,
advise,ollama,gemma3:4b,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,,,چه حس خوبی داری! غافلگیری کردن همیشه خیلی هیجان‌انگیزه، مخصوصاً وقتی کسی به این خوبی به فکرت باشه. این نشون می‌ده چقدر دوست‌داشتنی هستی. اگه می‌تونی، لبخند بزن و از این لحظات لذت ببر. 😊,5,5,4,3,5,1.16,
advise,ollama,qwen3:8b,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,,,خیلی زیبی بود که با همدلی و دلبستگی اطرافیان تو را جشن گرفتند! احساسات تو رو به خوبی درک می‌کنم. این یک فرصت خوب است تا به خودت یاد بده که هر کسی در زندگی تو می‌تونه یک نور باشه. می‌تونی این جشن را با یک پیام دلبسته به دوستان خودت به اشتراک بگذاری یا یک سری تصاویر خوش گذرانی از آن را ذخیره کنی.,5,5,5,4,5,6.55,
advise,ollama,hf.co/mradermacher/gemma-3-4b-persian-v0-GGUF:latest,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,,,وای چه کمالی! این حسِ غافلگیری و شادی خیلی خوبه. واقعاً می‌تونی از این اتفاق خوشحال باشی، این نشونه‌ایه که دوستات به فکر تو بودن و میان تا یه لحظه‌ی خاص رو باهات تقسیم کنن. برای اینکه این حس رو بیشتر کنی، می تونی با دوستات چند تا خاطره‌ی خوب رو یادآوری کنی یا یه کارِ کوچیک برای جبران کردنشون انجام بدی.,5,5,5,4,5,3.67,
advise,groq,llama-3.3-70b-versatile,7,بعد از مدت‌ها بالاخره با دوست قدیمیم آشتی کردم و قلبم پر از آرامشه.,joy,,,خوبه که دوباره با دوست قدیمی‌ات آشتی کردی. این اتفاق می‌تونه حس خیلی خوبی بهت بده و احساس آرامش و اطمینان رو درت ایجاد کنه. به خودت تبریک بگو که تونستی این وصلت رو دوباره برپا کنی. حالا که این اتفاق خوبی افتاده، سعی کن از این لحظات قشنگ با دوستت نهایت استفاده رو ببری و به رابطه‌تون اهمیت بدی.,5,5,4,4,5,0.82,
advise,groq,meta-llama/llama-4-scout-17b-16e-instruct,7,بعد از مدت‌ها بالاخره با دوست قدیمیم آشتی کردم و قلبم پر از آرامشه.,joy,,,آشتی با دوستی قدیمی می‌تواند تجربه‌ی بسیار دلنشین و آرامش‌بخشی باشه. طبیعی است که احساس خوبی داری و قلبت پر از آرامشه. این احساس رو با دوستتت در میان بذار و از لحظاتتون با هم لذت ببر.,5,5,4,4,5,0.84,
